,unique_id,ds,cutoff,NBEATSx,Real_value
5263,BTC,2022-11-29,2022-11-01,0.006129359,0.004692332330403524
5291,BTC,2022-11-30,2022-11-02,0.006898776,0.008284091047833017
5319,BTC,2022-12-01,2022-11-03,0.0075418744,0.004722513142398023
5347,BTC,2022-12-02,2022-11-04,0.0064318404,0.004580999080526725
5375,BTC,2022-12-03,2022-11-05,0.008021982,0.00267460200801037
5403,BTC,2022-12-04,2022-11-06,0.0071528926,0.003340780285145472
5431,BTC,2022-12-05,2022-11-07,0.007923907,0.005381497847968343
5459,BTC,2022-12-06,2022-11-08,0.0073224,0.003272375642469652
5487,BTC,2022-12-07,2022-11-09,0.01030211,0.003904843611766101
5515,BTC,2022-12-08,2022-11-10,0.009583537,0.004892562967280448
5543,BTC,2022-12-09,2022-11-11,0.01111388,0.0034448930943921765
5571,BTC,2022-12-10,2022-11-12,0.009717025,0.001791249652120905
5599,BTC,2022-12-11,2022-11-13,0.008744115,0.00213293875531779
5627,BTC,2022-12-12,2022-11-14,0.011505442,0.0032787829432174066
5655,BTC,2022-12-13,2022-11-15,0.010312439,0.008512758490373046
5683,BTC,2022-12-14,2022-11-16,0.009959002,0.008548663732863638
5711,BTC,2022-12-15,2022-11-17,0.010492456,0.0050671059877117714
5739,BTC,2022-12-16,2022-11-18,0.010898054,0.00706233182420837
5767,BTC,2022-12-17,2022-11-19,0.009413617,0.0032104132568380986
5795,BTC,2022-12-18,2022-11-20,0.0102683855,0.0026026839762192866
5823,BTC,2022-12-19,2022-11-21,0.011267303,0.0050104764823018025
5851,BTC,2022-12-20,2022-11-22,0.010012624,0.005908901509387009
5879,BTC,2022-12-21,2022-11-23,0.010864381,0.003529032877279797
5907,BTC,2022-12-22,2022-11-24,0.008221272,0.003728961739168711
5935,BTC,2022-12-23,2022-11-25,0.008291321,0.0030634412265028678
5963,BTC,2022-12-24,2022-11-26,0.0076856418,0.0012879963269890372
5991,BTC,2022-12-25,2022-11-27,0.007332854,0.0020985801328894252
6019,BTC,2022-12-26,2022-11-28,0.008451143,0.0020241269639090513
6047,BTC,2022-12-27,2022-11-29,0.007909144,0.003159707147842505
6075,BTC,2022-12-28,2022-11-30,0.007709212,0.004085587007311961
6103,BTC,2022-12-29,2022-12-01,0.0067475634,0.002318734084380499
6131,BTC,2022-12-30,2022-12-02,0.007460287,0.0037625568727439745
6159,BTC,2022-12-31,2022-12-03,0.0073633175,0.0017914351399184064
6187,BTC,2023-01-01,2022-12-04,0.0078222705,0.0013277310183345285
6215,BTC,2023-01-02,2022-12-05,0.006682807,0.0028671725717031417
6243,BTC,2023-01-03,2022-12-06,0.007059539,0.002366905580151899
6271,BTC,2023-01-04,2022-12-07,0.0056089372,0.003699651845527055
6299,BTC,2023-01-05,2022-12-08,0.006681029,0.0018791605124692742
6327,BTC,2023-01-06,2022-12-09,0.004479553,0.003207198822572768
6355,BTC,2023-01-07,2022-12-10,0.004891845,0.0010769360376931647
6383,BTC,2023-01-08,2022-12-11,0.0041612415,0.002971367992274061
6411,BTC,2023-01-09,2022-12-12,0.0052963793,0.0033937756597807473
6439,BTC,2023-01-10,2022-12-13,0.0073252795,0.002838823318190486
6467,BTC,2023-01-11,2022-12-14,0.008949504,0.0059838758351680125
6495,BTC,2023-01-12,2022-12-15,0.0065181027,0.013116555655162739
6523,BTC,2023-01-13,2022-12-16,0.006664812,0.008386622811247794
6551,BTC,2023-01-14,2022-12-17,0.0047330144,0.016180891661152285
6579,BTC,2023-01-15,2022-12-18,0.004068588,0.006308990007210251
6607,BTC,2023-01-16,2022-12-19,0.0056408835,0.0086661359216884
6635,BTC,2023-01-17,2022-12-20,0.0067229867,0.007037566137172389
6663,BTC,2023-01-18,2022-12-21,0.0062234756,0.009848662102241678
6691,BTC,2023-01-19,2022-12-22,0.004520503,0.004858190320675981
6719,BTC,2023-01-20,2022-12-23,0.0044170823,0.009874863553164087
6747,BTC,2023-01-21,2022-12-24,0.004585335,0.009992194991739237
6775,BTC,2023-01-22,2022-12-25,0.0028947303,0.007118588217233204
6803,BTC,2023-01-23,2022-12-26,0.0039829486,0.007761367384270221
6831,BTC,2023-01-24,2022-12-27,0.0032586753,0.006019005879626113
6859,BTC,2023-01-25,2022-12-28,0.0048179547,0.01215356691094544
6887,BTC,2023-01-26,2022-12-29,0.0047388175,0.005951484881528134
6915,BTC,2023-01-27,2022-12-30,0.0040617604,0.00719448521852175
6943,BTC,2023-01-28,2022-12-31,0.0033427326,0.0027244206785009364
6971,BTC,2023-01-29,2023-01-01,0.0030508204,0.006552012272130437
6999,BTC,2023-01-30,2023-01-02,0.003233582,0.007774572038015252
7027,BTC,2023-01-31,2023-01-03,0.0026985253,0.0058411462186139275
7055,BTC,2023-02-01,2023-01-04,0.005175943,0.006760573694235735
7083,BTC,2023-02-02,2023-01-05,0.004973888,0.00913995362108163
7111,BTC,2023-02-03,2023-01-06,0.0054189106,0.0054789393651938625
7139,BTC,2023-02-04,2023-01-07,0.004657975,0.0028069248716729054
7167,BTC,2023-02-05,2023-01-08,0.0039316416,0.004817003051899925
7195,BTC,2023-02-06,2023-01-09,0.003746768,0.005281715469338832
7223,BTC,2023-02-07,2023-01-10,0.0029970866,0.0067507060240399545
7251,BTC,2023-02-08,2023-01-11,0.004906393,0.004562510548599847
7279,BTC,2023-02-09,2023-01-12,0.0054502613,0.008102775971011892
7307,BTC,2023-02-10,2023-01-13,0.0044546733,0.005632553993736836
7335,BTC,2023-02-11,2023-01-14,0.00509511,0.0027822622458626867
7363,BTC,2023-02-12,2023-01-15,0.004663352,0.0042798740361286655
7391,BTC,2023-02-13,2023-01-16,0.005676862,0.005738733459543806
7419,BTC,2023-02-14,2023-01-17,0.0058082584,0.008210618779396897
7447,BTC,2023-02-15,2023-01-18,0.005958673,0.01050580833976889
7475,BTC,2023-02-16,2023-01-19,0.0057829246,0.012152615334329042
7503,BTC,2023-02-17,2023-01-20,0.005178443,0.010621129725306926
7531,BTC,2023-02-18,2023-01-21,0.0053230342,0.0043362930026741965
7559,BTC,2023-02-19,2023-01-22,0.004715654,0.007156921567543892
7587,BTC,2023-02-20,2023-01-23,0.0064159534,0.00768021592989741
7615,BTC,2023-02-21,2023-01-24,0.005231817,0.008163948278918207
7643,BTC,2023-02-22,2023-01-25,0.0072967065,0.00773417987258922
7671,BTC,2023-02-23,2023-01-26,0.004606828,0.008669879739075436
7699,BTC,2023-02-24,2023-01-27,0.0068010087,0.007640174020999748
7727,BTC,2023-02-25,2023-01-28,0.0071860543,0.0044927290946463775
7755,BTC,2023-02-26,2023-01-29,0.0049864114,0.00515880712140437
7783,BTC,2023-02-27,2023-01-30,0.0065174974,0.006890953554076812
7811,BTC,2023-02-28,2023-01-31,0.00584689,0.005102639440684744
7839,BTC,2023-03-01,2023-02-01,0.007039326,0.007400835098177324
7867,BTC,2023-03-02,2023-02-02,0.007879913,0.004358490269356676
7895,BTC,2023-03-03,2023-02-03,0.007064743,0.01386508901493995
7923,BTC,2023-03-04,2023-02-04,0.007124889,0.0024107180315988998
7951,BTC,2023-03-05,2023-02-05,0.007088531,0.004905936753406178
7979,BTC,2023-03-06,2023-02-06,0.0074103633,0.0034090079310911004
8007,BTC,2023-03-07,2023-02-07,0.008402551,0.005420150225119297
8035,BTC,2023-03-08,2023-02-08,0.00699798,0.006173323498584487
8063,BTC,2023-03-09,2023-02-09,0.008172819,0.01099373097332518
8091,BTC,2023-03-10,2023-02-10,0.007288642,0.01144554784740608
8119,BTC,2023-03-11,2023-02-11,0.006417521,0.009793581223916893
8147,BTC,2023-03-12,2023-02-12,0.0067616217,0.012181920296257892
8175,BTC,2023-03-13,2023-02-13,0.0073232087,0.016378247186283248
8203,BTC,2023-03-14,2023-02-14,0.00730653,0.018553183691358555
8231,BTC,2023-03-15,2023-02-15,0.007989284,0.011557601651642315
8259,BTC,2023-03-16,2023-02-16,0.0072946856,0.008711438779221797
8287,BTC,2023-03-17,2023-02-17,0.008436579,0.01320783967455513
8315,BTC,2023-03-18,2023-02-18,0.007922158,0.010442044432542676
8343,BTC,2023-03-19,2023-02-19,0.008523165,0.009206989858588206
8371,BTC,2023-03-20,2023-02-20,0.0070251864,0.011389681987015532
8399,BTC,2023-03-21,2023-02-21,0.007908086,0.008313735651893922
8427,BTC,2023-03-22,2023-02-22,0.0073857913,0.01501921889396244
