,unique_id,ds,cutoff,NHITS,Real_value
4738,ETH,2023-08-06,2023-07-30,0.00370468,0.001873398536306701
4745,ETH,2023-08-07,2023-07-31,0.003684187,0.004063103486258503
4752,ETH,2023-08-08,2023-08-01,0.0051181153,0.004009147672571226
4759,ETH,2023-08-09,2023-08-02,0.004410994,0.002992197906504065
4766,ETH,2023-08-10,2023-08-03,0.0042855227,0.002643940676786266
4773,ETH,2023-08-11,2023-08-04,0.0042859726,0.002189607257813927
4780,ETH,2023-08-12,2023-08-05,0.0029414177,0.0012038491002474853
4787,ETH,2023-08-13,2023-08-06,0.003016204,0.0021341017613458564
4794,ETH,2023-08-14,2023-08-07,0.0038842096,0.0021090365963405246
4801,ETH,2023-08-15,2023-08-08,0.0039315014,0.002910224780564996
4808,ETH,2023-08-16,2023-08-09,0.0039109453,0.0032586260951829394
4815,ETH,2023-08-17,2023-08-10,0.0034621735,0.023339805952672862
4822,ETH,2023-08-18,2023-08-11,0.003622702,0.0072785988484871875
4829,ETH,2023-08-19,2023-08-12,0.0028665971,0.004713349811892768
4836,ETH,2023-08-20,2023-08-13,0.0026895674,0.0035297457792118313
4843,ETH,2023-08-21,2023-08-14,0.0025272537,0.004651943907963665
4850,ETH,2023-08-22,2023-08-15,0.0030011854,0.008678344043066886
4857,ETH,2023-08-23,2023-08-16,0.003194423,0.006894566053802641
4864,ETH,2023-08-24,2023-08-17,0.009563165,0.004807856467683756
4871,ETH,2023-08-25,2023-08-18,0.003954005,0.00581795851231858
4878,ETH,2023-08-26,2023-08-19,0.0042133075,0.0015466230451858815
4885,ETH,2023-08-27,2023-08-20,0.0029462553,0.0024239095158851546
4892,ETH,2023-08-28,2023-08-21,0.003504929,0.004798036174285264
4899,ETH,2023-08-29,2023-08-22,0.00482374,0.011805375712925137
4906,ETH,2023-08-30,2023-08-23,0.0049091093,0.004282815704296536
4913,ETH,2023-08-31,2023-08-24,0.0050600115,0.007475925549613804
