,unique_id,ds,cutoff,NHITS,Real_value
923,BTC,2022-07-01,2022-06-10,0.010140639,0.015693119028413166
944,BTC,2022-07-02,2022-06-11,0.0083298385,0.006188759424697402
965,BTC,2022-07-03,2022-06-12,0.012126335,0.00881182302833929
986,BTC,2022-07-04,2022-06-13,0.016054472,0.009807204003711704
1007,BTC,2022-07-05,2022-06-14,0.012456981,0.011908736001504808
1028,BTC,2022-07-06,2022-06-15,0.011476982,0.009551495988334154
1049,BTC,2022-07-07,2022-06-16,0.0059127696,0.010290041840020277
1070,BTC,2022-07-08,2022-06-17,0.0134758875,0.013702277054962226
1091,BTC,2022-07-09,2022-06-18,0.017548796,0.0072270199969247054
1112,BTC,2022-07-10,2022-06-19,0.011804324,0.007900373970052872
1133,BTC,2022-07-11,2022-06-20,0.007604037,0.008083414270480262
1154,BTC,2022-07-12,2022-06-21,0.01016691,0.008516181712098711
1175,BTC,2022-07-13,2022-06-22,0.013852213,0.015500303196738542
1196,BTC,2022-07-14,2022-06-23,0.013012003,0.011653260355441413
1217,BTC,2022-07-15,2022-06-24,0.011469992,0.009656383797987868
1238,BTC,2022-07-16,2022-06-25,0.0100641465,0.008885391936861808
1259,BTC,2022-07-17,2022-06-26,0.011432379,0.008793832328690694
1280,BTC,2022-07-18,2022-06-27,0.010564219,0.015940055263382227
1301,BTC,2022-07-19,2022-06-28,0.009999556,0.014505464781709628
1322,BTC,2022-07-20,2022-06-29,0.009461217,0.01475158400661286
1343,BTC,2022-07-21,2022-06-30,0.014927439,0.011832507067399467
1364,BTC,2022-07-22,2022-07-01,0.010839779,0.009938552788436403
1385,BTC,2022-07-23,2022-07-02,0.0057875826,0.008233426910944306
1406,BTC,2022-07-24,2022-07-03,0.0108904205,0.008348950620240351
1427,BTC,2022-07-25,2022-07-04,0.010189068,0.010030551488660102
1448,BTC,2022-07-26,2022-07-05,0.011148702,0.008173548837165881
1469,BTC,2022-07-27,2022-07-06,0.009418474,0.012173438931450196
1490,BTC,2022-07-28,2022-07-07,0.011022517,0.013475050955383948
1511,BTC,2022-07-29,2022-07-08,0.013109362,0.01036981337239408
1532,BTC,2022-07-30,2022-07-09,0.0071068183,0.009622829995162672
1553,BTC,2022-07-31,2022-07-10,0.01034671,0.007669982608105298
1574,BTC,2022-08-01,2022-07-11,0.0111387465,0.00792048344273376
1595,BTC,2022-08-02,2022-07-12,0.011220638,0.008878543905558417
1616,BTC,2022-08-03,2022-07-13,0.01616954,0.007821511014876662
1637,BTC,2022-08-04,2022-07-14,0.011771048,0.007702030363833027
1658,BTC,2022-08-05,2022-07-15,0.012491833,0.008572737480908026
1679,BTC,2022-08-06,2022-07-16,0.012212072,0.003908029603909874
1700,BTC,2022-08-07,2022-07-17,0.010673693,0.00423246047543523
1721,BTC,2022-08-08,2022-07-18,0.013380534,0.007042642973060727
1742,BTC,2022-08-09,2022-07-19,0.008528716,0.005759156877218713
1763,BTC,2022-08-10,2022-07-20,0.010600563,0.012005844391419877
1784,BTC,2022-08-11,2022-07-21,0.010942647,0.009193611075559717
1805,BTC,2022-08-12,2022-07-22,0.011143064,0.0063805278082395295
1826,BTC,2022-08-13,2022-07-23,0.00957351,0.005894636843490245
1847,BTC,2022-08-14,2022-07-24,0.008242359,0.005805264434270376
1868,BTC,2022-08-15,2022-07-25,0.009807782,0.010325470218441685
1889,BTC,2022-08-16,2022-07-26,0.009052103,0.0061979336967093925
1910,BTC,2022-08-17,2022-07-27,0.013752341,0.008656294693744
1931,BTC,2022-08-18,2022-07-28,0.01428702,0.0046737277844474305
1952,BTC,2022-08-19,2022-07-29,0.013281789,0.013636186842288862
1973,BTC,2022-08-20,2022-07-30,0.012467202,0.00790845567234465
1994,BTC,2022-08-21,2022-07-31,0.010063355,0.00659681421411465
2015,BTC,2022-08-22,2022-08-01,0.011026787,0.007808548637959284
2036,BTC,2022-08-23,2022-08-02,0.011788585,0.007466931477597744
2057,BTC,2022-08-24,2022-08-03,0.009136215,0.006558995217328215
2078,BTC,2022-08-25,2022-08-04,0.00764728,0.005193836781743487
2099,BTC,2022-08-26,2022-08-05,0.008745808,0.01160191517144599
2120,BTC,2022-08-27,2022-08-06,0.00603057,0.006193544652286733
2141,BTC,2022-08-28,2022-08-07,0.007107575,0.0060213333435991
2162,BTC,2022-08-29,2022-08-08,0.008330381,0.0066034627055485216
2183,BTC,2022-08-30,2022-08-09,0.005870751,0.0090906628616562
2204,BTC,2022-08-31,2022-08-10,0.011432968,0.008511491489382758
2225,BTC,2022-09-01,2022-08-11,0.006845339,0.007634344185980454
2246,BTC,2022-09-02,2022-08-12,0.005913116,0.007659935985923093
2267,BTC,2022-09-03,2022-08-13,0.008226724,0.003663673661931257
2288,BTC,2022-09-04,2022-08-14,0.008834455,0.004997212619826431
2309,BTC,2022-09-05,2022-08-15,0.010764324,0.004648385240304617
2330,BTC,2022-09-06,2022-08-16,0.0053059626,0.011952826917848996
2351,BTC,2022-09-07,2022-08-17,0.009420231,0.007687417565605129
2372,BTC,2022-09-08,2022-08-18,0.007587112,0.006663530134789452
2393,BTC,2022-09-09,2022-08-19,0.014632337,0.011313612797475307
2414,BTC,2022-09-10,2022-08-20,0.007851847,0.007729549126446537
2435,BTC,2022-09-11,2022-08-21,0.008778094,0.006672953359832645
2456,BTC,2022-09-12,2022-08-22,0.008416135,0.01062320906166961
2477,BTC,2022-09-13,2022-08-23,0.0074782195,0.016043939027114127
2498,BTC,2022-09-14,2022-08-24,0.0070277485,0.00913471727731546
2519,BTC,2022-09-15,2022-08-25,0.006448064,0.00881890526084113
2540,BTC,2022-09-16,2022-08-26,0.011837949,0.006856855024230075
2561,BTC,2022-09-17,2022-08-27,0.005999964,0.005140742023595922
2582,BTC,2022-09-18,2022-08-28,0.0072463406,0.006637062454724784
2603,BTC,2022-09-19,2022-08-29,0.0075243562,0.014648854145958417
2624,BTC,2022-09-20,2022-08-30,0.009112735,0.009611094460131983
2645,BTC,2022-09-21,2022-08-31,0.008443244,0.018116747988092572
2666,BTC,2022-09-22,2022-09-01,0.009383638,0.009852701965104068
2687,BTC,2022-09-23,2022-09-02,0.00995506,0.009375684291532252
2708,BTC,2022-09-24,2022-09-03,0.007887313,0.005750927354880281
2729,BTC,2022-09-25,2022-09-04,0.010629961,0.0056277499920541485
2750,BTC,2022-09-26,2022-09-05,0.00937067,0.008864183233230233
2771,BTC,2022-09-27,2022-09-06,0.013222754,0.014702875325099455
2792,BTC,2022-09-28,2022-09-07,0.007914537,0.011597998750769771
2813,BTC,2022-09-29,2022-09-08,0.009653058,0.009964942258769484
2834,BTC,2022-09-30,2022-09-09,0.012868872,0.010495820881893972
2855,BTC,2022-10-01,2022-09-10,0.008695527,0.003610124585026182
2876,BTC,2022-10-02,2022-09-11,0.008720146,0.004919508106087119
2897,BTC,2022-10-03,2022-09-12,0.011001107,0.006474153604585765
2918,BTC,2022-10-04,2022-09-13,0.0122512,0.006733316620771562
2939,BTC,2022-10-05,2022-09-14,0.005784155,0.007215654315124109
2960,BTC,2022-10-06,2022-09-15,0.009097788,0.006224517688199758
2981,BTC,2022-10-07,2022-09-16,0.009010064,0.00706527706542354
3002,BTC,2022-10-08,2022-09-17,0.008537495,0.003534098143571044
3023,BTC,2022-10-09,2022-09-18,0.010305572,0.003285858998825638
3044,BTC,2022-10-10,2022-09-19,0.014004668,0.005899755061454747
3065,BTC,2022-10-11,2022-09-20,0.0074195853,0.00509095213815362
3086,BTC,2022-10-12,2022-09-21,0.015821239,0.003378054465378809
3107,BTC,2022-10-13,2022-09-22,0.0076382896,0.012247990942828012
3128,BTC,2022-10-14,2022-09-23,0.011499503,0.00883609685202976
3149,BTC,2022-10-15,2022-09-24,0.009344287,0.002693908974477163
3170,BTC,2022-10-16,2022-09-25,0.009527774,0.0049345584647092836
3191,BTC,2022-10-17,2022-09-26,0.010842798,0.004380546753673329
3212,BTC,2022-10-18,2022-09-27,0.012893946,0.005743868950998982
3233,BTC,2022-10-19,2022-09-28,0.009026544,0.004300971263174425
3254,BTC,2022-10-20,2022-09-29,0.009515077,0.005285537886569041
3275,BTC,2022-10-21,2022-09-30,0.011344486,0.005484502449089059
3296,BTC,2022-10-22,2022-10-01,0.006608071,0.0018001778580591528
3317,BTC,2022-10-23,2022-10-02,0.00945584,0.004452914776822682
3338,BTC,2022-10-24,2022-10-03,0.009340658,0.00400311783333439
3359,BTC,2022-10-25,2022-10-04,0.008449804,0.007224345490495403
3380,BTC,2022-10-26,2022-10-05,0.0083815465,0.00830672980748508
3401,BTC,2022-10-27,2022-10-06,0.008106767,0.006870403691025005
3422,BTC,2022-10-28,2022-10-07,0.009176615,0.006717962415226938
3443,BTC,2022-10-29,2022-10-08,0.0066238362,0.005731488754528611
3464,BTC,2022-10-30,2022-10-09,0.0070561413,0.004496375880906577
3485,BTC,2022-10-31,2022-10-10,0.008804757,0.006549221965076731
3506,BTC,2022-11-01,2022-10-11,0.0064453403,0.003986280142376825
3527,BTC,2022-11-02,2022-10-12,0.005612394,0.007162232680874205
3548,BTC,2022-11-03,2022-10-13,0.012598173,0.004673581450569778
3569,BTC,2022-11-04,2022-10-14,0.007681362,0.009142095149907228
3590,BTC,2022-11-05,2022-10-15,0.0048605623,0.004722269359932096
3611,BTC,2022-11-06,2022-10-16,0.008098444,0.003998055259215592
3632,BTC,2022-11-07,2022-10-17,0.0062936638,0.006156491849966719
3653,BTC,2022-11-08,2022-10-18,0.008089021,0.027462228054592863
3674,BTC,2022-11-09,2022-10-19,0.006292347,0.021162127692582952
3695,BTC,2022-11-10,2022-10-20,0.007062395,0.024607965966111787
3716,BTC,2022-11-11,2022-10-21,0.0075625987,0.016031475554338922
3737,BTC,2022-11-12,2022-10-22,0.0044237385,0.0061449889043205565
3758,BTC,2022-11-13,2022-10-23,0.007042184,0.007057026209345572
3779,BTC,2022-11-14,2022-10-24,0.0056010564,0.01765739049864319
3800,BTC,2022-11-15,2022-10-25,0.0075922185,0.009396849565999853
3821,BTC,2022-11-16,2022-10-26,0.007172141,0.0066907698637232015
3842,BTC,2022-11-17,2022-10-27,0.006468485,0.005441717422613718
3863,BTC,2022-11-18,2022-10-28,0.0069710976,0.005551283778767733
3884,BTC,2022-11-19,2022-10-29,0.006581623,0.002793877925709999
3905,BTC,2022-11-20,2022-10-30,0.0058685294,0.005658023619109415
3926,BTC,2022-11-21,2022-10-31,0.007398937,0.010011115234233427
3947,BTC,2022-11-22,2022-11-01,0.0050955988,0.008343815503219694
3968,BTC,2022-11-23,2022-11-02,0.007985825,0.008183341475211707
3989,BTC,2022-11-24,2022-11-03,0.0053733205,0.005159959782633796
4010,BTC,2022-11-25,2022-11-04,0.009590818,0.004181775669649219
4031,BTC,2022-11-26,2022-11-05,0.0058217733,0.003513341126806841
4052,BTC,2022-11-27,2022-11-06,0.0060803406,0.003150488709678523
4073,BTC,2022-11-28,2022-11-07,0.007195263,0.007329325312911697
4094,BTC,2022-11-29,2022-11-08,0.018693214,0.004692332330403524
4115,BTC,2022-11-30,2022-11-09,0.0050315047,0.008284091047833017
4136,BTC,2022-12-01,2022-11-10,0.010693164,0.004722513142398023
4157,BTC,2022-12-02,2022-11-11,0.0059127067,0.004580999080526725
4178,BTC,2022-12-03,2022-11-12,0.0052597057,0.00267460200801037
4199,BTC,2022-12-04,2022-11-13,0.009385889,0.003340780285145472
4220,BTC,2022-12-05,2022-11-14,0.015221137,0.005381497847968343
4241,BTC,2022-12-06,2022-11-15,0.0063764183,0.003272375642469652
4262,BTC,2022-12-07,2022-11-16,0.009227693,0.003904843611766101
4283,BTC,2022-12-08,2022-11-17,0.00990819,0.004892562967280448
4304,BTC,2022-12-09,2022-11-18,0.011100674,0.0034448930943921765
4325,BTC,2022-12-10,2022-11-19,0.008643759,0.001791249652120905
4346,BTC,2022-12-11,2022-11-20,0.011068731,0.00213293875531779
4367,BTC,2022-12-12,2022-11-21,0.012384584,0.0032787829432174066
4388,BTC,2022-12-13,2022-11-22,0.008991632,0.008512758490373046
4409,BTC,2022-12-14,2022-11-23,0.009694134,0.008548663732863638
4430,BTC,2022-12-15,2022-11-24,0.008359819,0.0050671059877117714
4451,BTC,2022-12-16,2022-11-25,0.00849882,0.00706233182420837
4472,BTC,2022-12-17,2022-11-26,0.008495483,0.0032104132568380986
4493,BTC,2022-12-18,2022-11-27,0.008353187,0.0026026839762192866
4514,BTC,2022-12-19,2022-11-28,0.010240927,0.0050104764823018025
